,kl,-2,-1,exp,1,2,obs
0,-10.0,0.09085355575159522,0.12197106988419344,0.16927369428038344,0.2473552799044445,0.36280142996720577,0.12019984816642437
1,-9.8,0.0937510179618002,0.12586091836402594,0.17467209754926807,0.25525506432783046,0.37441868151613,0.12406936606974633
2,-9.6,0.09678780476752911,0.12993781037602023,0.18033008327250305,0.26353526682069806,0.3865970119402544,0.1281183348063584
3,-9.4,0.09997449982817326,0.1342159545028627,0.18626737038248845,0.27222484484754494,0.3993791134474294,0.13236710789980782
4,-9.2,0.10332024751397927,0.13870762707884945,0.1925009962017672,0.28134880294772446,0.4127083473647803,0.13683659662226277
5,-9.0,0.10683572598319101,0.1434271635515546,0.19905085572816408,0.2909363966611143,0.42681212568154314,0.1415287168733832
6,-8.8,0.11053258710995717,0.1483902065839902,0.20593865813713325,0.3010193669388429,0.4416468506492327,0.1464703675394132
7,-8.6,0.11442338557501613,0.15361361085871705,0.2131877946671519,0.3116322035075715,0.45726357415810787,0.15166062181081108
8,-8.4,0.11852175614568418,0.15911568107656318,0.22082366891871966,0.32281242142978805,0.473717841646944,0.15715163800128493
9,-8.2,0.12284281319346015,0.1649167083097611,0.2288744412151081,0.33460089609075905,0.49107021486411545,0.16327574983848528
10,-8.0,0.12740283668107125,0.17103854843896496,0.23737044354949885,0.34704221923739687,0.509386763405941,0.16902744938958847
11,-7.8,0.13221945648857678,0.17750486961139228,0.24634452301194423,0.3601851096659937,0.5287396793250028,0.17548356989538866
12,-7.6,0.13744203531786278,0.18451619153592103,0.25607496454271766,0.3740831036904805,0.5492205514887137,0.18229059856135374
13,-7.4,0.14283554203821608,0.1917569844764607,0.2661238701703243,0.3887941798242716,0.5708912988846304,0.18953347296032294
14,-7.2,0.1485501051729229,0.19942879625856286,0.27677095167426785,0.4043826930168134,0.5938592858440103,0.19718807810189345
15,-7.0,0.1546114551327235,0.20756617000715616,0.28806414863869906,0.42091916364740395,0.6182291797609524,0.20532742593019468
16,-6.8,0.16104794584577786,0.2162071709242516,0.30005628865112743,0.4384812660918195,0.6441163126747954,0.2139612442160245
17,-6.6,0.16789085784660107,0.22539379318640937,0.3128056520022099,0.4571547107967223,0.6716479996301161,0.22316189372005557
18,-6.4,0.17517477265596185,0.23517246255045848,0.3263766692112138,0.477034247379366,0.7009650442276236,0.23293770874598696
19,-6.2,0.18293794258714347,0.2455945328190995,0.3408406100301115,0.4982248229858418,0.7322234675862487,0.24338637584287331
20,-6.0,0.19122285184286703,0.2567170391145817,0.35627662885064565,0.5208429042150797,0.7655726823724851,0.2545476874358691
21,-5.8,0.2000767212251025,0.2686033754525759,0.3727727050538124,0.5450180152639691,0.8012518887046981,0.26646784744456764
22,-5.6,0.20955215767665214,0.2813241667529747,0.39042685320249015,0.5708945022210645,0.8394532704579375,0.2792454360086784
23,-5.4,0.21970790301080637,0.2949582740108676,0.4093485180362066,0.5986335881393017,0.8804169800417432,0.292906681451757
24,-5.2,0.23060972074811387,0.309593984876576,0.4296602267800116,0.6284157567964322,0.9244120132880035,0.30768060944361864
25,-5.0,0.24233135267854858,0.32533029784216677,0.45149937136214036,0.6604435313252374,0.9717403847779336,0.32354659445651834
26,-4.8,0.25495572734212213,0.34227854462895185,0.4750204599932285,0.6949447273155809,1.0227420339550497,0.3406217170894437
27,-4.6,0.268576329742957,0.3605642290312144,0.5003976691474566,0.7321762655277471,1.0778005737836467,0.35908121427298795
28,-4.4,0.28329883235548886,0.38032921654511054,0.5278278823698171,0.7724286492106496,1.137350050782422,0.37904323099429293
29,-4.2,0.29924304173612143,0.4017343476984854,0.5575343171033001,0.8160312672563835,1.2018829588817386,0.400717797799693
30,-4.0,0.3165451099408018,0.4249624068831375,0.5897706448889188,0.8633586459209031,1.271959692434932,0.42426904944107524
31,-3.8,0.33536021361158797,0.45022171903358704,0.6248259829026592,0.9148378992933379,1.3482198241222083,0.4498886705971477
32,-3.6,0.3558655636454807,0.47775019011315584,0.6630305014163825,0.9709580414941331,1.4313958169256735,0.47786148694158426
33,-3.4,0.37826467955906595,0.5078210454565592,0.704763387575222,1.0322777521273403,1.5223264355033568,0.5084709860162739
34,-3.2,0.4027918495486343,0.5407488174090246,0.7504611551532872,1.0994439103021716,1.6219824228651922,0.5420435888505558
35,-3.0,0.4297177820054117,0.5768969324961439,0.8006281741675405,1.1732020371562095,1.731484098776971,0.5789595605863349
36,-2.8,0.4593553207099283,0.616685384083088,0.8558473191353838,1.2544162590462589,1.8521312144190438,0.6210094989821466
37,-2.6,0.4920687527681607,0.6606032282964273,0.9167973111448061,1.3440917574597124,1.9854372959154696,0.6647709483112282
38,-2.4,0.5282829268524102,0.7092208252796998,0.9842697064940238,1.443402033306548,2.1331711882111977,0.7150351454764418
39,-2.2,0.5684953957265682,0.7632061405564742,1.0591915200229802,1.5537222047229637,2.297407941342154,0.7720813647148824
40,-2.0,0.6132909211356209,0.8233442178718554,1.1426522498809637,1.6766696886159407,2.4805910214363527,0.8343588539119012
41,-1.8,0.6633280628750341,0.8905191749928495,1.2358788909671925,1.8140620480037408,2.6854560100531115,0.9041429857652301
42,-1.6,0.7194849951019169,0.9659099623810115,1.3405076124174333,1.9683399880963286,2.915722143103803,0.9826925781494747
43,-1.4,0.7827040052269114,1.050781602661638,1.458294035899476,2.1421108526180137,3.1753318639300656,1.071319038154699
44,-1.2,0.8541442391126769,1.1466902513407056,1.5913978226479195,2.338582164653466,3.469163733411118,1.1718529243436828
45,-1.0,0.9351932825295372,1.2554987449309118,1.7424042514394777,2.5616170388298674,3.8030679329725072,1.2863322756007651
46,-0.8,1.0275175569516297,1.3794442574030177,1.9144181134606033,2.8158357514664782,4.18408055152458,1.417186552945235
47,-0.6,1.1331238410455493,1.5212208929003388,2.1111783359958403,3.10681210508978,4.620684736425252,1.567472663178748
48,-0.4,1.2544342054045323,1.684080285760664,2.3371975969886485,3.441275155568165,5.123126305149859,1.7407609909894473
49,-0.2,1.394376411058097,1.8719529606858762,2.5979307509170586,3.827359104551339,5.703790470684775,1.9413435051496692
50,0.0,1.556490354345583,2.089591235185363,2.899973151433138,4.2748996045693275,6.377643825502006,2.1746821586910565
51,0.2,1.7450599581677846,2.3427462838299897,3.251306384391518,4.795778570904425,7.162742280242185,2.4469793518720513
52,0.4,1.9652494852766325,2.638351139100492,3.661552239792845,5.404315361116429,8.080795015837815,2.7660870831920774
53,0.6,2.2232692358296196,2.9847431406666822,4.1422814309851255,6.1176950596504955,9.157749515974382,3.140188602010756
54,0.8,2.5265400682745054,3.391884804985343,4.70732012155428,6.956409639488372,10.424492113706947,3.579134195929354
55,1.0,2.8838393423837467,3.8715597540990947,5.373021838915063,7.944648225061382,11.923081601954314,4.0940319153846225
56,1.2,3.3053525893605684,4.437442082851215,6.1583637434077065,9.110445520407177,13.684615746157014,4.695373996138647
57,1.4,3.802441335940949,5.104784662304821,7.08451405004982,10.485064933528221,15.76101691658056,5.3910401738766165
58,1.6,4.3911110672936555,5.895074886474387,8.181293359486633,12.099380867926675,18.199062535179593,6.183723644235991
59,1.8,5.069253783362399,6.805482761310096,9.444774153921845,13.973279409674804,21.025299354070288,7.060349010901131
60,2.0,5.835077460747172,7.83360249201891,10.871617627090291,16.08591098032942,24.20015294139599,7.955712837929227
61,2.2,6.646377507649389,8.922774334542227,12.383190344007046,18.311700472198844,27.49462745944409,8.834848846041115
62,2.4,7.393382757065466,9.925630290224378,13.774972285500056,20.331479050119473,30.408641605964196,9.530612890578167
63,2.6,7.892043990647971,10.595083936442972,14.704052369428874,21.62934921593704,32.134352737998185,9.867572128796715
64,2.8,7.966697280540364,10.695306118868565,14.843142557652444,21.74443041247436,32.04516656888144,9.732891581961066
65,3.0,7.586453536643276,10.184828175807048,14.134691878710976,20.631502648706096,30.192124649923564,9.166441349725794
66,3.2,6.887198195852418,9.246076562477928,12.831875122649352,18.680886460112163,27.196355719269267,8.30449729246572
67,3.4,6.057041292724138,8.131589354919985,11.285169276495179,16.40329662444709,23.803746821391847,7.335031938325305
68,3.6,5.235798897778281,7.029069891403615,9.755072485652581,14.166427297436032,20.5205231139133,6.385527413102941
69,3.8,4.494266972701379,6.033561883965751,8.3734881618887,12.15388159595234,17.58818046870928,5.521486792251452
70,4.0,3.8550328231640543,5.175388833053422,7.18249981688425,10.414837393445369,15.07454875816701,4.766776121688888
71,4.2,3.3161762576052523,4.451972877875738,6.1785298480173285,8.957619738521215,12.962013902672354,4.1223867041172255
72,4.4,2.866115400722716,3.8477653290039275,5.339999498101286,7.741192732766349,11.200620250505887,3.578269035917418
73,4.6,2.4910058013943672,3.3441799847054297,4.641114494503294,6.727682200299128,9.734080774120624,3.120727458144351
74,4.8,2.1777942947831774,2.923692946577192,4.057554848690863,5.881595731100742,8.510342254807549,2.735987075147676
75,5.0,1.9152319617403923,2.571202519454244,3.5683621503385123,5.17242941148175,7.484929024791603,2.411662492092381
76,5.2,1.6940118851725636,2.274214149592149,3.156196227939067,4.574981659335984,6.621208547478912,2.1371922564699455
77,5.4,1.5065855307721736,2.0225939154516905,2.8069930387804374,4.068814967762984,5.8895273586794845,1.9038144083297797
78,5.6,1.3468616074903483,1.8081642473157464,2.509403601193715,3.640073665532634,5.266056791749421,1.7043558095054272
79,5.8,1.20996212854917,1.6243764387384148,2.2543394999185606,3.2701403827469013,4.731686441789935,1.5329873660937765
80,6.0,1.091961932192658,1.4659609526621202,2.0344875745003668,2.9512760003805565,4.271069101149634,1.3849750798454419
81,6.2,0.9896966759647894,1.3286696533738664,1.8439521840578483,2.674926155094844,3.8718409817184054,1.256474355422423
82,6.4,0.899883552739554,1.2080953661178553,1.6766169704008091,2.4341667901326858,3.523950892249619,1.1443551650136954
83,6.6,0.821889952151469,1.1033888102857556,1.5313032862796234,2.223368272058388,3.2193636075473804,1.0460620899086726
84,6.8,0.7532823511665815,1.0112829766165254,1.4034771161495407,2.0379273511837126,2.951384352732176,0.9601045093074909
85,7.0,0.6926606522607502,0.9298982315443783,1.2905298699746108,1.8740615338919733,2.7145525204956127,0.8834013769256708
86,7.2,0.6388680476861045,0.8576815584868497,1.1903062427760214,1.7286458136125924,2.5043573518539635,0.815276389817755
87,7.4,0.5909437188613522,0.7933430566871083,1.1010160865574383,1.5990847593235324,2.31705290230798,0.7545553803255194
88,7.6,0.5480854982496923,0.7358058147146589,1.0211648438272718,1.4832116264670387,2.149512173626195,0.7002020913748084
89,7.8,0.50962039482326,0.6841663408457925,0.9494986321528333,1.3792084525315176,1.9991116385590533,0.6513738957073801
90,8.0,0.47498094156268245,0.637662809537146,0.8849601760322791,1.2855424911451276,1.8636394013138933,0.6073727667869716
91,8.2,0.44374165782388875,0.595724012221889,0.8267567417099425,1.2010635751286542,1.7414304538272787,0.5676145015172406
92,8.4,0.41537781145629343,0.5576454949985744,0.7739106751039055,1.1243562549239372,1.630453000111381,0.5315467542535675
93,8.6,0.389600993357841,0.5230400681039502,0.725884627138888,1.054640515947011,1.5295755755277949,0.4989504631620522
94,8.8,0.36611122078729563,0.49150500414234527,0.6821196853275444,0.9911060309061616,1.4376286581069406,0.4688489542115436
95,9.0,0.3446500574194473,0.46269335185993077,0.6421343443381056,0.9330546404339957,1.3536045500023448,0.441658992823191
96,9.2,0.32499399961834463,0.43630505720406704,0.6055121836372243,0.8798825278782604,1.2766316577580132,0.4167000848177609
97,9.4,0.30694904548798513,0.4120796722636158,0.571891748823231,0.8310655562048443,1.205953339484581,0.3935316905047812
98,9.6,0.29034620828393864,0.38979033201558616,0.5409581924443395,0.7861471570635481,1.1409104356270345,0.3723991996542326
99,9.8,0.27503778896093534,0.3692387502132438,0.5124363292001209,0.7447282828128506,1.0809267750692264,0.35317638003564916
100,10.0,0.2608942948433123,0.35025108269537686,0.48608489496601404,0.7064590368487452,1.025497101993176,0.3349181754461887
