,kl,-2,-1,exp,1,2,obs
0,-10.0,0.09665398091376808,0.12975815160004578,0.18008074951862219,0.2564245743826606,0.3613861388782935,0.19771306183633966
1,-9.8,0.09953223050446662,0.13362220710196904,0.1854433568183369,0.26406464969432086,0.3721627753559595,0.20365032004980635
2,-9.6,0.10254041786936241,0.13766070431072588,0.19104805752741777,0.2720504134705677,0.3834290743662473,0.20985838580005406
3,-9.4,0.105687569780999,0.14188576168547437,0.19691166986638717,0.2804053353278626,0.39521651482145637,0.21635577138545642
4,-9.2,0.10897951120321042,0.14630519925114355,0.20304504660968056,0.2891447685198776,0.40754645663124506,0.22315474102113866
5,-9.0,0.11242636264611239,0.1509326038116442,0.20946704377367645,0.2982957666054356,0.42045752095749894,0.23027714071430175
6,-8.8,0.11603799025816977,0.15578122068989114,0.21619604346114615,0.30788449224274783,0.43398693459446636,0.23774336824843287
7,-8.6,0.11982539047883821,0.16086581262658534,0.2232525336751753,0.3179404044491793,0.44817615914776915,0.24557793024723262
8,-8.4,0.12379967087816246,0.1662012915554532,0.23065720947167456,0.3284929178291445,0.46306734338853445,0.2538025001259521
9,-8.2,0.12797382900992887,0.1718051067169574,0.23843428722751353,0.33957777238839804,0.4787133405731995,0.26244433750728946
10,-8.0,0.1323600391481593,0.1776936020969246,0.24660644942684823,0.3512249394086712,0.49515072812721717,0.271530706461196
11,-7.8,0.13697285585914137,0.18388631722803592,0.2552008133925372,0.36347343141093025,0.5124360525175634,0.28108995656335184
12,-7.6,0.1418642563589878,0.19045303162091615,0.26431422041292646,0.376467493946624,0.5307902338846088,0.2912295971205365
13,-7.4,0.1469826049289039,0.1973244242257338,0.2738504654599917,0.3900606891003327,0.5499775917747973,0.30185104056187206
14,-7.2,0.15237993048785012,0.2045703439642842,0.2839064861521783,0.40439800828914885,0.5702213709161219,0.3130597759807356
15,-7.0,0.1580772535849463,0.2122190109633911,0.29452144690056364,0.4195305390874222,0.5915852087725344,0.32489748785495953
16,-6.8,0.16409015498457652,0.22029134242861487,0.30572437698776855,0.4355169095488457,0.6141547535620938,0.337414201023705
17,-6.6,0.1704892753812837,0.22888217362555935,0.3176468905397663,0.452518359446595,0.6381646951837728,0.35070510648674147
18,-6.4,0.17723052308325285,0.23793231137483617,0.3302068381734221,0.4704267285684515,0.6634541137489897,0.3647390094530179
19,-6.2,0.18444312853535086,0.24761524779231933,0.34364499543830196,0.48932757651507813,0.6901475352098401,0.37956691167143863
