    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            88       11.1761       1.24475      0.111377
       ttbarFT           342       30.1864       1.71421     0.0567874
       ttbarTF           706       59.0988       2.35514     0.0398509
         ttbar          1877        161.57       3.91373      0.024223
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           369        46.311       2.55234      0.055113
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            12       2.28556      0.736731      0.322342
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             6       0.19587     0.0822899      0.420125
            Zl             0             0             0             0
           Zcl             1    0.00577952    0.00577952             1
           Zbl             2   -0.00717373     0.0355799      -4.95976
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb           186        5.0196      0.787528      0.156891
         Zttbc            65       1.62667      0.677383      0.416423
         Zttbl           870       19.1668       1.59501      0.083217
         Zttcc            38       1.55431      0.354121      0.227832
         Zttcl           219       3.69618      0.649252      0.175655
          Zttl           451      0.607313      0.118368      0.194904
           Wtt           415       20.8814       1.81314     0.0868303
            WW             4      0.557101      0.335224       0.60173
            WZ            37       1.09886       0.27012      0.245817
            ZZ            23      0.229084     0.0721266      0.314848
            VH           344     0.0610943    0.00462168     0.0756483
         bkg:           6055       365.321
          data          1502           751
