    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           604       141.425       6.13034     0.0433471
       ttbarFT           834       144.774       5.34976     0.0369524
       ttbarTF          1236       218.906       6.59134     0.0301103
         ttbar           143       25.0676       2.26703     0.0904364
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           113        14.401       1.40833     0.0977936
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            28       5.63878       1.27467      0.226054
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops            12       0.39947      0.120967      0.302819
            Zl             1   6.97086e-06   6.97086e-06             1
           Zcl             1   0.000279453   0.000279453             1
           Zbl             9    0.00309431    0.00118247      0.382142
           Zcb             0             0             0             0
           Zbc             3     0.0135828    0.00956343      0.704082
           Zbb             5     0.0783557      0.038144      0.486806
         Zttbb            91       3.43758       0.55774      0.162248
         Zttbc            58      0.416337      0.071995      0.172925
         Zttbl           381      0.653958       0.12641        0.1933
         Zttcc            53      0.235572     0.0563131      0.239048
         Zttcl           137      0.139895     0.0247345      0.176807
          Zttl           432     0.0211512    0.00250016      0.118204
           Wtt           922       7.67953      0.776174       0.10107
            WW            22      0.107994     0.0480021      0.444489
            WZ            75      0.477554       0.14984      0.313765
            ZZ            44      0.103576     0.0480761      0.464162
            ZH             0             0             0             0
         bkg:           5204       563.981
          data          1883          1883
