    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           176       19.5635       1.59501     0.0815298
       ttbarFT           262       22.6679       1.49563     0.0659802
       ttbarTF           470       41.7003       2.05579      0.049299
         ttbar           123       12.8813       1.22552     0.0951395
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            62       8.43632       1.12182      0.132975
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            14       3.63716       1.06665      0.293264
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             4      0.135668      0.071126      0.524266
            Zl             1   3.55543e-05   3.55543e-05             1
           Zcl             0             0             0             0
           Zbl             4    0.00132448   0.000717792      0.541942
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             3     0.0426382     0.0255166      0.598445
         Zttbb            43       1.60178      0.379694      0.237045
         Zttbc            37      0.229721     0.0498344      0.216934
         Zttbl           200      0.246031     0.0371885      0.151153
         Zttcc            15       0.06933     0.0298645      0.430759
         Zttcl            60     0.0632957     0.0139454      0.220321
          Zttl           177     0.0113345     0.0026271      0.231778
           Wtt           406        2.9641      0.413295      0.139433
            WW            11     0.0523783     0.0306804      0.585746
            WZ            32      0.217081     0.0863245       0.39766
            ZZ            16    0.00790249      0.022801       2.88529
            ZH             0             0             0             0
         bkg:           2116       114.529
          data           456           228
