    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF             9      0.875313      0.314304      0.359077
       ttbarFT            27       2.22914      0.448991      0.201418
       ttbarTF            59       4.81508       0.64375      0.133695
         ttbar            14       1.22965      0.339332      0.275958
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            23       3.02841      0.641754      0.211911
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             2      0.686698      0.485569      0.707107
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             0             0             0             0
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             4    0.00236967    0.00123998      0.523274
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb            15      0.348518      0.187122      0.536909
         Zttbc            11     0.0647655     0.0224569      0.346741
         Zttbl            84     0.0663606     0.0105634      0.159181
         Zttcc            19     0.0342946     0.0156867      0.457409
         Zttcl            34      0.014467    0.00411797      0.284647
          Zttl           115    0.00179105   0.000584834      0.326532
           Wtt           189      0.998621      0.226879      0.227193
            WW             1   4.32975e-05   4.32975e-05             1
            WZ            10     0.0515268     0.0535065       1.03842
            ZZ             7     0.0155239     0.0132557      0.853887
            ZH             0             0             0             0
         bkg:            623       14.4626
          data            85          42.5
