    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           573       177.266       7.83047     0.0441735
       ttbarFT          2350       329.952       7.17738     0.0217528
       ttbarTF          3083       438.139       8.24885      0.018827
         ttbar          1405       197.609       5.46064     0.0276335
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           358       46.8839       2.59535     0.0553571
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            77       20.1094       2.43599      0.121137
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops            28      0.869194      0.178327      0.205164
            Zl             2   1.78482e-05   1.57622e-05      0.883124
           Zcl             3    0.00215409    0.00160691      0.745982
           Zbl            12    0.00545149    0.00234462      0.430088
           Zcb             0             0             0             0
           Zbc             1    0.00382717    0.00382717             1
           Zbb             3     0.0464342     0.0271523      0.584746
         Zttbb           161       4.36847       0.50609      0.115851
         Zttbc            97      0.473819     0.0819234        0.1729
         Zttbl           654      0.636535     0.0483559     0.0759673
         Zttcc            72      0.236782     0.0714593      0.301794
         Zttcl           211      0.101988     0.0205171      0.201172
          Zttl           589     0.0217758    0.00821524      0.377264
           Wtt          1551       16.2681       1.32724     0.0815853
            WW           112      0.268777     0.0814388      0.302998
            WZ           325      0.788701      0.117296       0.14872
            ZZ            34      0.106464     0.0747669      0.702276
            VH           266     0.0249138    0.00290626      0.116653
         bkg:          11967       1234.18
          data          2357          2357
