    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            90       14.2422       1.59693      0.112127
       ttbarFT           567       41.2968       1.85228     0.0448529
       ttbarTF           957       66.5726       2.24625     0.0337413
         ttbar          2615       190.786       3.87764     0.0203246
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           417       55.2061        2.7813     0.0503802
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            15       3.50399      0.983149       0.28058
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             8      0.222529     0.0812225      0.364997
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             7     0.0605764       0.04925      0.813022
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb           205       5.70041       1.09963      0.192904
         Zttbc            85       1.82354      0.342043      0.187571
         Zttbl          1047       23.6257       2.06361     0.0873461
         Zttcc            51       2.14497       0.78283       0.36496
         Zttcl           299        4.0143       1.07293      0.267276
          Zttl           575       1.03816      0.155621        0.1499
           Wtt           446       23.1211       1.75613     0.0759534
            WW            26      0.646014      0.204032      0.315832
            WZ           136      0.864234      0.127316      0.147317
            ZZ            20      0.319506     0.0966767      0.302582
            VH           327     0.0669447    0.00588784     0.0879507
         bkg:           7893       435.256
          data          1941         970.5
