    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF             7        1.5035      0.597288      0.397264
       ttbarFT            43       8.23475       1.30554       0.15854
       ttbarTF             6       1.09146      0.481533      0.441181
         ttbar             6       1.10623      0.467589      0.422687
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt             8       1.02631      0.400621      0.390349
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             1      0.205567      0.205567             1
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             0             0             0             0
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             1     0.0167863     0.0167863             1
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb             8      0.203351     0.0900905      0.443029
         Zttbc             2      0.024914     0.0208695      0.837664
         Zttbl            56      0.751757      0.137844      0.183362
         Zttcc             2    0.00597395    0.00436814      0.731199
         Zttcl            32      0.236345     0.0603446      0.255324
          Zttl            93       0.18414     0.0529302      0.287446
           Wtt           136       2.11767      0.355001      0.167638
            WW             2      0.234338      0.191859      0.818728
            WZ             6      0.198111      0.107022      0.540215
            ZZ             2   -0.00291228    0.00438445       -1.5055
            ZH             0             0             0             0
         bkg:            411       17.1383
          data           452           452
