    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF             4       1.24813      0.652419      0.522719
       ttbarFT            31       4.20597      0.771919      0.183529
       ttbarTF             3      0.446363      0.260296      0.583149
         ttbar            16       2.07332      0.580491      0.279981
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            13       1.59567      0.461356      0.289129
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             1      0.225556      0.225556             1
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             0             0             0             0
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             1   0.000256971   0.000256971             1
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb             9      0.137453     0.0604402      0.439715
         Zttbc             5     0.0121651    0.00679035       0.55818
         Zttbl            32     0.0105971    0.00517995      0.488807
         Zttcc             4    0.00313509    0.00191842      0.611919
         Zttcl            18    0.00400508    0.00158056      0.394638
          Zttl            34   0.000318607   0.000100179      0.314428
           Wtt           173      0.767578      0.245565      0.319921
            WW             5    0.00761269    0.00530834      0.697302
            WZ            12     0.0266055     0.0259514      0.975414
            ZZ             0             0             0             0
            VH             7   0.000460161    0.00021701      0.471596
         bkg:            368       10.7652
          data            43            43
