    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            29       7.89619       1.63235      0.206726
       ttbarFT           123       18.4777       1.77099     0.0958448
       ttbarTF            18       2.28052      0.559715      0.245433
         ttbar            70       9.85788       1.20718      0.122458
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            26       3.45728      0.686562      0.198585
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             3      0.865429      0.503812      0.582153
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             3     0.0902308     0.0627746      0.695711
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             0             0             0             0
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb            12      0.265828      0.101797      0.382944
         Zttbc             5      0.112785     0.0635261      0.563251
         Zttbl            81       1.22494      0.285756      0.233281
         Zttcc             5     0.0375771     0.0271631      0.722863
         Zttcl            41      0.157951      0.103728      0.656711
          Zttl            91     0.0865369     0.0235101      0.271677
           Wtt           219       6.97705       1.11729      0.160137
            WW             6       0.21543      0.125174      0.581045
            WZ            25      0.285742     0.0835296      0.292325
            ZZ             1      0.018111      0.018111             1
            VH            27     0.0054303    0.00211203      0.388936
         bkg:            785       52.3126
          data           756           756
