    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            10        2.4841      0.819471      0.329886
       ttbarFT            37       6.55215       1.11869      0.170737
       ttbarTF             4      0.677615      0.350031      0.516562
         ttbar             6       1.03215      0.441376      0.427628
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt             2      0.298279      0.211312      0.708438
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             2      0.707797       0.50052      0.707152
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             0             0             0             0
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             1   0.000283771   0.000283771             1
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb            12      0.225067     0.0860749      0.382441
         Zttbc             2    0.00648358    0.00540335      0.833391
         Zttbl            39      0.014879    0.00430551      0.289369
         Zttcc             3    0.00131404   0.000845842      0.643694
         Zttcl            24    0.00523312    0.00168061      0.321149
          Zttl            77    0.00194695   0.000388305      0.199443
           Wtt           114      0.421238      0.134193      0.318569
            WW             1   0.000681242   0.000681242             1
            WZ             6     0.0445193     0.0412765      0.927161
            ZZ             2  -0.000250317   0.000330061      -1.31857
            ZH             0             0             0             0
         bkg:            342       12.4735
          data            54            54
