    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            74       11.0994       1.37407      0.123797
       ttbarFT           558       37.9789       1.72246      0.045353
       ttbarTF           866       60.8023       2.14847     0.0353353
         ttbar          2916       204.035       3.93775     0.0192994
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           208       28.3473       2.01544      0.071098
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            11       2.85357      0.894936       0.31362
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             8      0.245021     0.0893884       0.36482
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             7    0.00146797   0.000828724      0.564537
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb           226        6.7556       1.21104      0.179265
         Zttbc           115      0.588256     0.0926845      0.157558
         Zttbl           789      0.311717     0.0438108      0.140547
         Zttcc            82      0.261641      0.111945      0.427857
         Zttcl           237     0.0591454     0.0151734      0.256544
          Zttl           509    0.00883243    0.00167637      0.189798
           Wtt           417       4.54959       0.54214      0.119162
            WW            24      0.136016     0.0789058      0.580119
            WZ           130      0.236176     0.0584941      0.247671
            ZZ            19      0.124975     0.0459193      0.367427
            VH           323     0.0283999    0.00304747      0.107306
         bkg:           7519       358.423
          data           714           357
