    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF             9      0.814686      0.293323      0.360044
       ttbarFT            23       2.15479       0.46843       0.21739
       ttbarTF            60       5.25109      0.718362      0.136802
         ttbar           211       17.8408       1.30719     0.0732695
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           130       16.0757       1.50103     0.0933724
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             1       0.21163       0.21163             1
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             1     0.0241076     0.0241076             1
            Zl             0             0             0             0
           Zcl             1    0.00577952    0.00577952             1
           Zbl             0             0             0             0
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb            66        1.8719      0.456858      0.244061
         Zttbc            33       1.25381      0.789903      0.630003
         Zttbl           318       6.10515      0.781623      0.128027
         Zttcc            16      0.480964      0.171978       0.35757
         Zttcl            83      0.791242      0.201676      0.254886
          Zttl           204      0.285094     0.0581853      0.204091
           Wtt           147       5.13032      0.750327      0.146253
            WW             2       0.20475      0.167035      0.815802
            WZ             6      0.247188      0.133877      0.541601
            ZZ            12     0.0701157     0.0553175      0.788946
            VH           171     0.0209023    0.00192677     0.0921798
         bkg:           1494         58.84
          data           188            94
