    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           205       56.5879        4.2872     0.0757618
       ttbarFT           328       52.3922       3.18567     0.0608043
       ttbarTF           660       95.1478        3.9978     0.0420168
         ttbar           172       25.1325       2.06433      0.082138
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           167       22.1811       1.80255     0.0812653
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            15       3.91441       1.07602      0.274886
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             4      0.146962     0.0754728      0.513552
            Zl             3    0.00802708    0.00677113      0.843535
           Zcl             2    0.00941968    0.00692267      0.734916
           Zbl            17      0.498643      0.212568      0.426293
           Zcb             0             0             0             0
           Zbc             1    0.00995991    0.00995991             1
           Zbb             1     0.0179352     0.0179352             1
         Zttbb            34       1.11757      0.305434      0.273302
         Zttbc            25       0.39008       0.26501      0.679373
         Zttbl           386       8.58791      0.696921     0.0811514
         Zttcc            21      0.544139      0.210507      0.386862
         Zttcl           133       1.83787      0.264185      0.143745
          Zttl           363       0.73775      0.262355      0.355616
           Wtt           825       32.4674       2.29785     0.0707741
            WW            48       1.00063      0.196747      0.196623
            WZ           213       1.80774       0.22748      0.125837
            ZZ            19      0.212791        0.0956      0.449268
            ZH             0             0             0             0
         bkg:           3642       304.751
          data          5085          5085
