    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            33       4.45238      0.829958      0.186408
       ttbarFT           366       25.4328       1.36553     0.0536918
       ttbarTF           692       49.6413       1.95827     0.0394484
         ttbar          2295       163.009       3.52075     0.0215985
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           389       51.5542       2.69704     0.0523147
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            10        2.6574      0.871986      0.328135
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             3     0.0757125     0.0442337      0.584233
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             0             0             0             0
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb           183       4.52109      0.676955      0.149733
         Zttbc            61       1.96175       0.40447      0.206178
         Zttbl           902       20.9784       1.75489     0.0836525
         Zttcc            42      0.721001      0.297801      0.413038
         Zttcl           222       3.69772      0.811293      0.219403
          Zttl           468      0.628308        0.1642      0.261336
           Wtt           346       21.5885       1.83662     0.0850741
            WW             4     0.0566502     0.0916239       1.61736
            WZ            32      0.549497      0.188289      0.342657
            ZZ            65      0.450506     0.0899225      0.199603
            VH           311     0.0585269    0.00435846     0.0744695
         bkg:           6424       352.034
          data          1325         662.5
