    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           365       86.1881       4.82381     0.0559684
       ttbarFT           470       87.0437       4.28533     0.0492319
       ttbarTF           702       127.509       5.08766     0.0399005
         ttbar           198       35.4682       2.61359     0.0736884
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           161       21.1873       1.75215     0.0826983
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            19       4.46929       1.11853      0.250271
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             7      0.216189     0.0870068      0.402457
            Zl             3     0.0154089     0.0163957       1.06404
           Zcl             3     0.0528014     0.0489006      0.926123
           Zbl             5      0.102095     0.0547318      0.536088
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb            49       2.06114      0.510091       0.24748
         Zttbc            31      0.716943      0.159624      0.222646
         Zttbl           299       8.46604      0.777663     0.0918568
         Zttcc            16      0.366053      0.170179      0.464903
         Zttcl           115       2.55636      0.396392      0.155061
          Zttl           282       1.20247      0.300305       0.24974
           Wtt           614         31.22       1.96734     0.0630152
            WW            16       1.26494      0.460282      0.363875
            WZ            54       1.57876       0.32887       0.20831
            ZZ            24      0.489248      0.151776      0.310223
            ZH             0             0             0             0
         bkg:           3433       412.174
          data          6024          6024
