    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            72       10.7101       1.34476      0.125559
       ttbarFT           543       36.9778       1.70267     0.0460459
       ttbarTF           822       57.7149       2.09524     0.0363032
         ttbar          2772       194.975       3.84209     0.0197055
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           169       23.0263       1.81606     0.0788688
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             9       2.46342      0.851023      0.345464
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             8      0.245021     0.0893884       0.36482
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             4    0.00136238   0.000753438       0.55303
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb           192       6.53815      0.822865      0.125856
         Zttbc            84      0.546232     0.0902303      0.165187
         Zttbl           628      0.249531     0.0417736      0.167408
         Zttcc            61      0.293463     0.0946636      0.322574
         Zttcl           177     0.0560515     0.0149002       0.26583
          Zttl           406    0.00757953    0.00163665       0.21593
           Wtt           325       3.96794       0.51858      0.130692
            WW            21      0.127862     0.0785113      0.614031
            WZ           109      0.182477     0.0480897      0.263538
            ZZ            14     0.0845748     0.0358477      0.423858
            VH           246      0.023311    0.00296124      0.127032
         bkg:           6662       338.191
          data           684           342
