    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            89       14.0613       1.58665      0.112838
       ttbarFT           545       39.6792       1.81237     0.0456755
       ttbarTF           907        63.132       2.18865     0.0346679
         ttbar          2439       177.897       3.74113     0.0210297
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           353       46.8172       2.55925     0.0546647
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            14       3.34309      0.969894      0.290119
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             8      0.222529     0.0812225      0.364997
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             4     0.0716556     0.0364899       0.50924
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb           164       5.50854      0.762691      0.138456
         Zttbc            62       1.74296       0.32678      0.187485
         Zttbl           847       19.5153       1.93957     0.0993874
         Zttcc            35       1.95273      0.766861      0.392713
         Zttcl           233       3.97251      0.958705      0.241335
          Zttl           454      0.926802      0.139232      0.150229
           Wtt           347        19.816       1.67312     0.0844326
            WW            23      0.600602      0.197914      0.329527
            WZ           115      0.690482      0.111798      0.161912
            ZZ            15       0.23963     0.0835289      0.348575
            VH           249     0.0562014      0.005743      0.102186
         bkg:           6903       400.246
          data          1810           905
