    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           601       144.782       6.31359     0.0436075
       ttbarFT          1491       265.709       7.37087     0.0277403
       ttbarTF          2131        379.13       8.66062     0.0228434
         ttbar           912       164.028       5.67234     0.0345816
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           710       90.0627        3.5806     0.0397567
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            35       9.70611        1.7123      0.176414
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops            15      0.446519      0.120812      0.270564
            Zl             2    0.00140672   0.000996024      0.708049
           Zcl             2     0.0264937     0.0222233      0.838816
           Zbl            11      0.337604      0.109992      0.325803
           Zcb             0             0             0             0
           Zbc             2     0.0559434     0.0408426      0.730069
           Zbb             2    0.00858927    0.00802918      0.934792
         Zttbb           122       3.05291      0.523671      0.171532
         Zttbc            68       1.47996      0.296188      0.200132
         Zttbl           872       18.8352       1.41948     0.0753633
         Zttcc            43      0.777677      0.261431      0.336169
         Zttcl           304       4.95877      0.639924      0.129049
          Zttl           753       1.96578      0.393894      0.200375
           Wtt          2016       91.8772       4.08971     0.0445128
            WW            46        2.7348      0.632193      0.231166
            WZ           118       3.24747      0.512997      0.157968
            ZZ            45      0.580739      0.156039      0.268691
            VH           298     0.0537319    0.00441727     0.0822095
         bkg:          10599       1183.86
          data          9483          9483
